timestamp,open,high,low,close,volume,Principal Component 1,Principal Component 2
2014/9/29,98.65,100.435,98.63,100.11,49766312,-3.286422973,-0.935084608
2014/9/30,100.81,101.54,100.53,100.75,55264139,-3.286422973,-0.935084608
2014/10/1,100.59,100.69,98.7,99.18,51491286,-3.286422973,-0.935084608
2014/10/2,99.27,100.22,98.04,99.9,47757828,-3.286422973,-0.935084608
2014/10/3,99.44,100.21,99.04,99.62,43469585,-3.286422973,-0.935084608
2014/10/6,99.95,100.65,99.42,99.62,37051182,-3.286422973,-0.935084608
2014/10/7,99.43,100.12,98.73,98.75,42094183,-3.286422973,-0.935084608
2014/10/8,98.76,101.11,98.31,100.8,57404674,-3.286422973,-0.935084608
2014/10/9,101.54,102.38,100.61,101.02,77376525,-3.286422973,-0.935084608
2014/10/10,100.69,102.03,100.3,100.73,66331592,-3.286422973,-0.935084608
2014/10/13,101.33,101.78,99.81,99.81,53583368,-3.286422973,-0.935084608
2014/10/14,100.39,100.52,98.57,98.75,63688562,-3.286422973,-0.935084608
2014/10/15,97.97,99.15,95.18,97.54,100933600,-3.286422973,-0.935084608
2014/10/16,95.55,97.72,95.41,96.26,72154523,-3.286422973,-0.935084608
2014/10/17,97.5,99.0,96.81,97.67,68179688,-3.286422973,-0.935084608
2014/10/20,98.315,99.96,98.22,99.76,77517279,-3.286422973,-0.935084608
2014/10/21,103.02,103.02,101.27,102.47,94623904,-3.286422973,-0.935084608
2014/10/22,102.84,104.11,102.6,102.99,68263146,-3.286422973,-0.935084608
2014/10/23,104.08,105.051,103.63,104.83,71074674,-3.286422973,-0.935084608
2014/10/24,105.18,105.49,104.53,105.22,47053916,-3.286422973,-0.935084608
2014/10/27,104.85,105.48,104.7,105.11,34187701,-3.286422973,-0.935084608
2014/10/28,105.4,106.74,105.35,106.74,48060949,-3.286422973,-0.935084608
2014/10/29,106.65,107.37,106.36,107.34,52687879,-3.286422973,-0.935084608
2014/10/30,106.959,107.35,105.9,106.98,40654793,-3.286422973,-0.935084608
2014/10/31,108.01,108.04,107.21,108.0,44639285,-3.286422973,-0.935084608
2014/11/3,108.22,110.3,108.01,109.4,52282550,-3.286422973,-0.935084608
2014/11/4,109.36,109.49,107.72,108.6,41574365,-3.286422973,-0.935084608
2014/11/5,109.1,109.3,108.125,108.86,37435905,-3.286422973,-0.935084608
2014/11/6,108.6,108.79,107.8,108.7,34968457,-3.286422973,-0.935084608
2014/11/7,108.75,109.32,108.55,109.01,33691535,-3.286422973,-0.935084608
2014/11/10,109.02,109.33,108.67,108.83,27195547,-3.286422973,-0.935084608
2014/11/11,108.7,109.75,108.4,109.7,27442252,-3.286422973,-0.935084608
2014/11/12,109.38,111.43,109.37,111.25,46942431,-3.286422973,-0.935084608
2014/11/13,111.8,113.45,111.6,112.82,59522855,-3.286422973,-0.935084608
2014/11/14,113.15,114.19,113.05,114.18,44063595,-3.286422973,-0.935084608
2014/11/17,114.27,117.28,113.3,113.99,46746712,-3.286422973,-0.935084608
2014/11/18,113.94,115.69,113.89,115.47,44223978,-3.286422973,-0.935084608
2014/11/19,115.44,115.74,113.8,114.67,41869160,-3.286422973,-0.935084608
2014/11/20,114.91,116.86,114.85,116.31,43395537,-3.286422973,-0.935084608
2014/11/21,117.51,117.57,116.03,116.47,57179298,-3.286422973,-0.935084608
2014/11/24,116.85,118.77,116.62,118.625,47450824,-3.286422973,-0.935084608
2014/11/25,119.07,119.75,117.45,117.6,68840440,-3.286422973,-0.935084608
2014/11/26,117.94,119.1,117.83,119.0,40831886,-3.286422973,-0.935084608
2014/11/28,119.27,119.4,118.05,118.93,24814402,-3.286422973,-0.935084608
2014/12/1,118.81,119.25,111.27,115.07,83814037,-3.286422973,-0.935084608
2014/12/2,113.5,115.75,112.75,114.63,59348940,-3.286422973,-0.935084608
2014/12/3,115.75,116.35,115.11,115.93,43063440,-3.286422973,-0.935084608
2014/12/4,115.77,117.2,115.29,115.49,42155776,-3.286422973,-0.935084608
2014/12/5,115.99,116.08,114.64,115.0,38318895,-3.286422973,-0.935084608
2014/12/8,114.1,114.648,111.62,112.4,57664850,-3.286422973,-0.935084608
2014/12/9,110.19,114.3,109.35,114.12,60208036,-3.286422973,-0.935084608
2014/12/10,114.41,114.85,111.54,111.95,44565318,-3.286422973,-0.935084608
2014/12/11,112.26,113.8,111.34,111.62,41471578,-3.286422973,-0.935084608
2014/12/12,110.46,111.87,109.58,109.73,56028138,-3.286422973,-0.935084608
2014/12/15,110.7,111.6,106.35,108.225,67218082,-3.286422973,-0.935084608
2014/12/16,106.37,110.16,106.26,106.745,60790733,-3.286422973,-0.935084608
2014/12/17,107.12,109.84,106.82,109.41,53411773,-3.286422973,-0.935084608
2014/12/18,111.87,112.65,110.66,112.65,59006218,-3.286422973,-0.935084608
2014/12/19,112.26,113.24,111.66,111.78,88429770,-3.286422973,-0.935084608
2014/12/22,112.16,113.49,111.97,112.94,45167549,-3.286422973,-0.935084608
2014/12/23,113.23,113.33,112.46,112.54,26028419,-3.286422973,-0.935084608
2014/12/24,112.58,112.71,112.01,112.01,14479611,-3.286422973,-0.935084608
2014/12/26,112.1,114.52,112.01,113.99,33720951,-3.286422973,-0.935084608
2014/12/29,113.79,114.77,113.7,113.91,27598920,-3.051183162,-1.066725377
2014/12/30,113.64,113.92,112.11,112.52,29881477,-3.051183162,-1.066725377
2014/12/31,112.82,113.13,110.21,110.38,41403351,-3.051183162,-1.066725377
2015/1/2,111.39,111.44,107.35,109.33,53204626,-3.051183162,-1.066725377
2015/1/5,108.29,108.65,105.41,106.25,64285491,-3.051183162,-1.066725377
2015/1/6,106.54,107.43,104.63,106.26,65797116,-3.051183162,-1.066725377
2015/1/7,107.2,108.2,106.695,107.75,40105934,-3.051183162,-1.066725377
2015/1/8,109.23,112.15,108.7,111.89,59364547,-3.051183162,-1.066725377
2015/1/9,112.67,113.25,110.21,112.01,53315099,-3.051183162,-1.066725377
2015/1/12,112.6,112.63,108.8,109.25,49650790,-3.051183162,-1.066725377
2015/1/13,111.43,112.8,108.91,110.22,67091928,-3.051183162,-1.066725377
2015/1/14,109.04,110.49,108.5,109.8,48956588,-3.051183162,-1.066725377
2015/1/15,110.0,110.06,106.66,106.82,60013996,-3.051183162,-1.066725377
2015/1/16,107.03,107.58,105.2,105.99,78513345,-3.051183162,-1.066725377
2015/1/20,107.84,108.9667,106.5,108.72,49899907,-3.051183162,-1.066725377
2015/1/21,108.95,111.06,108.27,109.55,48575897,-3.051183162,-1.066725377
2015/1/22,110.26,112.47,109.72,112.4,53796409,-3.051183162,-1.066725377
2015/1/23,112.3,113.75,111.53,112.98,46464828,-3.051183162,-1.066725377
2015/1/26,113.74,114.3626,112.8,113.1,55614979,-3.051183162,-1.066725377
2015/1/27,112.42,112.48,109.03,109.14,95568749,-3.051183162,-1.066725377
2015/1/28,117.625,118.12,115.31,115.31,146477063,-3.051183162,-1.066725377
2015/1/29,116.32,119.19,115.56,118.9,84436432,-3.051183162,-1.066725377
2015/1/30,118.4,120.0,116.85,117.16,83745461,-3.051183162,-1.066725377
2015/2/2,118.05,119.17,116.08,118.63,62739100,-3.051183162,-1.066725377
2015/2/3,118.5,119.09,117.61,118.65,51915749,-3.051183162,-1.066725377
2015/2/4,118.5,120.51,118.309,119.56,70149743,-3.051183162,-1.066725377
2015/2/5,120.02,120.23,119.25,119.94,42246245,-3.051183162,-1.066725377
2015/2/6,120.02,120.25,118.45,118.93,43706567,-3.051183162,-1.066725377
